SimFin ID,Company,Ticker,ISIN,Price Close,MCAP,Volume (SMA 2m),Cash and eq.,Cur. liab.,Liabilities,Assets,D&A,CROIC,Taxes
22219,3M CO,MMM,US88579Y1010,181.49,105205216113,2395647.59524,5500000000,9440000000,33791000000,48307000000,1911000000,0.24814,-1437000000
63877,ABBOTT LABORATORIES,ABT,US0028241000,126.79,225283026565,4234756.21429,8944000000,12614000000,39240000000,73269000000,3482000000,0.15223,-828000000
61199,AbbVie Inc.,ABBV,US00287Y1091,107.73,190358910000,7524019.14286,8600000000,28684000000,135378000000,147972000000,8772000000,0.16827,652000000
1250893,AbCellera Biologics Inc.,ABCL,CA00288U1066,20.36,5674411078,2490382.80952,792571000,69758000,184177000,1151856000,10196000,0.32693,-83431000
61372,Accenture plc,ACN,IE00B4BNMY34,335.4,223521179435,1637695.40476,10013813000,14929559000,22230920000,42124884000,1891851000,0.41763,-1768120000
7962770,"ACM Research, Inc.",ACMR,US00108J1097,34.13,5874214335,1224671.14286,101466000,162058000,189402000,418958000,1645000,-0.20816,7300000
243,Activision Blizzard,ATVI,US00507V1098,79.56,61819453346,8848649.21429,9209000000,2253000000,7286000000,23572000000,152000000,0.14011,-444000000
14099,Adobe Systems,ADBE,US00724F1012,654.48,311532480000,1476952.40476,5768000000,6145000000,11730000000,25582000000,771000000,0.28852,506000000
54871,ADT Inc.,ADT,US00090Q1031,8.3,6897756500,1979483.45238,150439000,1421272000,13221264000,16075886000,1890954000,0.08438,96515000
191397,ADVANCED MICRO DEVICES INC,AMD,US0079031078,103.88,126216378987,73553836.2619,3793000000,2892000000,3626000000,10691000000,364000000,0.14476,1018000000
62329,AES CORP,AES,US00130H1059,24.6,16389930416,5345291.16667,1495000000,4337000000,28181000000,34727000000,1067000000,0.04755,37000000
1242005,"Affirm Holdings, Inc.",AFRM,US00827B1061,116.28,31613604535,8348875.38095,520741000,73986000,1730435000,2708122000,19979000,0.0313,-362000
62581,AFLAC INC,AFL,US0010551028,53.99,36695233964,2605651.57143,5469000000,,127757000000,161492000000,,,460000000
45846,AGILENT TECHNOLOGIES INC,A,US00846U1016,173.94,52655580872,1636870,1428000000,1724000000,5545000000,10491000000,313000000,0.17118,-205000000
2226695,AGNICO EAGLE MINES LTD,AEM,CA0084741085,53.23,9146883510,1373522.45238,351277000,263713000,1870488000,5255842000,,,-124225000
1214552,"Airbnb, Inc.",ABNB,US0090661010,166.59,104725604552,6485246.45238,7427939000,9496350000,12091609000,15484810000,135864000,-0.30138,-615000
69211,AKAMAI TECHNOLOGIES INC,AKAM,US00971T1016,109.49,17848924908,1130272.11905,1416488000,647449000,3444281000,7920938000,515787000,0.10472,-42866000
65470,"ALASKA AIR GROUP, INC.",ALK,US0116591092,56.92,7085503658,1714741.38095,3951000000,4846000000,11332000000,14656000000,400000000,0.02922,265000000
132877,ALBEMARLE CORP,ALB,US0126531013,226.85,26478346228,1359997.28571,823572000,984928000,4431155000,10796926000,244132000,0.01964,-149644000
1077533,"Albertsons Companies, Inc.",ACI,US0130911037,30.1,14042074801,1625461.42857,2173800000,6704200000,23484400000,26781899999,1232300000,0.07717,-209100000
367153,Alcoa Corp,AA,US0138721065,48.83,9117769298,7258105.69048,1652000000,2671000000,9020000000,14438000000,674000000,0.16596,-266000000
1202765,Alibaba Group Holding Ltd,BABA,US01609W1027,160.05,433175325000,27878877.07143,74543952472,58186053877,93531154249,260620195181,7066526623,0.13486,-4318473908
10383340,"Alight, Inc.",ALIT,US01626W1018,12.36,5522324536,5275703.66667,14551,10050365,166783520,1036162763,-217000000,-0.11457,16869222
68840,ALLSTATE CORP,ALL,US0200021014,131.03,39222347765,1435425.59524,711000000,,112743000000,130810000000,,,-1963000000
510248,Ally Financial Inc.,ALLY,US02005N1000,52.47,19449609665,2828509.69048,,,153297000000,173704000000,1388000000,,-328000000
18,Alphabet (Google),GOOG,US02079K1079,141.46,1896027403156,20701891.42857,135863000000,55741000000,97822000000,335387000000,12083000000,0.23302,-12387000000
997777,"Altice USA, Inc.",ATUS,US02156K1034,25.65,11794244157,4535713.52381,221319000,3095231000,34880952000,33531958000,1893186000,0.09669,-237714000
133574,"ALTRIA GROUP, INC.",MO,US02209S1033,48.61,89959511916,5978249.69048,1877000000,5783000000,41088000000,44388000000,255000000,0.31325,-2526000000
62747,AMAZON COM INC,AMZN,US0231351067,173.13,1746271368274,61984682.85714,89894000000,117792000000,245516000000,360319000000,29687000000,0.04187,-4158000000
