SimFin ID,Company,Ticker,ISIN,Price Close,MCAP,Volume (SMA 2m),D&A,Cash and eq.,Cur. liab.,Liabilities,Assets,CROIC,Taxes
18615200,"360 DigiTech, Inc.",QFIN,US88557W1018,25.15,7927937119,1425621.52381,10224861,,,,,,
22219,3M CO,MMM,US88579Y1010,133.57,73377163157,4567812.85714,1803000000,10338000000,14345000000,39389000000,43377000000,-0.33797,209000000
63877,ABBOTT LABORATORIES,ABT,US0028241000,118.13,205534033083,5760046.61905,3247000000,7219000000,13760000000,33457000000,73017000000,0.09201,-952000000
61199,AbbVie Inc.,ABBV,US00287Y1091,193.45,341699197470,4723498.42857,8516000000,13157000000,41915000000,135116000000,141937000000,0.20466,-1716000000
188522,ABERCROMBIE & FITCH CO /DE/,ANF,US0028962076,134.41,6865482153,1871640.95238,145737000,738402000,1051656000,1828408000,3049558000,0.3746,-171397000
61372,Accenture plc,ACN,IE00B4BNMY34,337.04,226580409957,2127632.33333,2212914000,5542095000,18207753000,27763699000,54141319000,0.32184,-2217146000
14099,Adobe Systems,ADBE,US00724F1012,515.03,228364302000,2428437.52381,866000000,8065000000,8628000000,15164000000,30007000000,0.39932,-1370000000
54871,ADT Inc.,ADT,US00090Q1031,7.17,6537806710,3863989.2619,1328456000,37883000,1315346000,12177612000,15985822000,0.028,-146282000
191397,ADVANCED MICRO DEVICES INC,AMD,US0079031078,150.82,244099431863,46981964.88095,3175000000,5340000000,6195000000,11348000000,67886000000,-0.00457,347000000
17685538,AerCap Holdings N.V.,AER,NL0000687663,94.86,19208501916,1437708.66667,2480578000,1490369000,5238577000,35924832000,43867380000,,-291056000
62329,AES CORP,AES,US00130H1059,19.24,13678183801,7807056.61905,1198000000,1834000000,6757000000,40709000000,47738000000,-0.02319,-140000000
1242005,"Affirm Holdings, Inc.",AFRM,US00827B1061,44,13689135856,9930421.28571,169044000,2144734000,372418000,6787630000,9519619000,-0.51287,-2230000
62581,AFLAC INC,AFL,US0010551028,109.56,61356482633,2295707.85714,,6060000000,,95546000000,120168000000,,-813000000
45846,AGILENT TECHNOLOGIES INC,A,US00846U1016,138.35,39751783283,1519354.54762,250000000,1779000000,2389000000,5093000000,10996000000,0.15529,-127000000
2226695,AGNICO EAGLE MINES LTD,AEM,CA0084741085,82.29,40922771000,2125754.5,,351277000,263713000,1870488000,5255842000,,-124225000
6480964,Agree Realty Corporation,ADC,US0084921008,75.97,7644446988,1098675.57143,191798000,9639000,131921000,2800777000,8000838000,0.06879,-3571000
185217,AIR PRODUCTS & CHEMICALS INC /DE/,APD,US0091581068,291.13,64722420967,1261009.11905,1427600000,2437500000,4474500000,20287300000,36974300000,0.11214,-560700000
1214552,"Airbnb, Inc.",ABNB,US0090661010,122.12,77546200000,4996483.7381,52000000,11251000000,15828000000,18318000000,26320000000,-0.00448,2574000000
69211,AKAMAI TECHNOLOGIES INC,AKAM,US00971T1016,97.87,14829827110,1525184.95238,610926000,1914217000,584353000,5332856000,10087532000,0.09713,-103394000
65470,"ALASKA AIR GROUP, INC.",ALK,US0116591092,40.98,5170002910,2281202.07143,488000000,2509000000,4968000000,11116000000,15342000000,-0.0333,-110000000
132877,ALBEMARLE CORP,ALB,US0126531013,89.82,10556835168,2997768.21429,511618000,1830227000,1958458000,6905127000,18388282000,-0.19009,-75946000
1077533,"Albertsons Companies, Inc.",ACI,US0130911037,18.54,10737138705,3310882.7619,1800000000,291100000,7066000000,23163900000,26077000000,0.06133,-295700000
367153,Alcoa Corp,AA,US0138721065,33.97,8775814556,6381926.78571,650000000,1396000000,3166000000,8891000000,14307000000,0.01105,-158000000
1202765,Alibaba Group Holding Ltd,BABA,US01609W1027,84.7,213211075000,13327005.57143,2497683373,110652128149,59460371768,91127879105,246577317440,0.10206,-3149927716
442346,Allegheny Technologies Inc.,ATI,US01741R1023,61.84,7696842258,1367311.57143,149000000,425600000,1245600000,3453500000,4921400000,0.08914,94000000
119577,ALLIANT ENERGY CORP,LNT,US0188021085,60.31,15469489368,1216160.90476,719000000,92000000,1854000000,15045000000,21836000000,-0.04386,37000000
68840,ALLSTATE CORP,ALL,US0200021014,190.26,50236362463,1531681.90476,605000000,599000000,,89795000000,108368000000,0.04001,-672000000
510248,Ally Financial Inc.,ALLY,US02005N1000,33.76,10285722804,3585966.09524,1250000000,,,178680000000,192531000000,,104000000
18,Alphabet (Google),GOOG,US02079K1079,160.28,2016482680000,18802611.47619,12728000000,100725000000,77913000000,114017000000,414770000000,0.19095,-13818000000
133574,"ALTRIA GROUP, INC.",MO,US02209S1033,50.5,86740134412,8241145.30952,285000000,3608000000,10935000000,41539000000,36475000000,0.66359,-2716000000
62747,AMAZON COM INC,AMZN,US0231351067,186.88,1961411538721,39185174.21429,48538000000,89092000000,158172000000,318371000000,554818000000,0.10901,-9602000000
6475603,Amcor plc,AMCR,JE00BJ1F3079,10.99,15884321900,10433239.38095,595000000,588000000,4261000000,12571000000,16524000000,0.12541,-163000000
18493381,"Amer Sports, Inc.",AS,n/a,14.89,7523166648,1289682.69048,197000000,,,,,,
68703,AMEREN CORP,AEE,US0236081024,85.02,22684757960,1313157.47619,1489000000,19000000,3293000000,30666000000,42334000000,-0.02179,-191000000
68568,American Airlines Group Inc.,AAL,US02376R1023,11.17,7335382708,34061010.21429,,8446000000,24610000000,68871000000,64125000000,,-78000000
445654,American Capital Agency Corp,AGNC,US00123Q1040,10.56,8262824508,15084582.02381,,3288000000,70592000000,71033000000,79685000000,,
66050,AMERICAN ELECTRIC POWER CO INC,AEP,US0255371017,104.21,55452224679,2955326.61905,3182300000,447700000,10906600000,71900900000,97744600000,,119600000
413080,AMERICAN EXPRESS CO,AXP,US0258161092,265.4,188675952706,2754308.2619,1662000000,6674000000,,242679000000,272219000000,0.08381,-2711000000
445723,American Homes 4 Rent,AMH,US02665T3068,40.29,14766252164,2121692.54762,463963000,718380000,599363000,5591953000,13303940000,,
251769,AMERICAN INTERNATIONAL GROUP INC,AIG,US0268747849,73.6,47394825542,4113699.14286,3691000000,1381000000,,123415000000,167890000000,,-541000000
68339,AMERICAN TOWER CORP /MA/,AMT,US03027X1000,239.45,111842702769,2205152.7619,2638900000,2492100000,14606400000,55414300000,65837800000,0.09061,-316800000
6480942,"Americold Realty Trust, Inc.",COLD,US03064D1081,28.32,8047285488,1928164.78571,365571000,44198000,1217744000,4332865000,7802453000,0.02803,4363000
67669,AMETEK INC/,AME,US0311001004,168.57,39030017620,1297502.2381,370382000,396573000,2203047000,5543462000,14795866000,0.18058,-296908000
65735,AMGEN INC,AMGN,US0311621009,332.8,178823164416,1908502.92857,5074000000,9301000000,21517000000,84982000000,90907000000,0.12388,-395000000
693881,"AMKOR TECHNOLOGY, INC.",AMKR,US0316521006,30.69,7561683658,1587023.11905,611735000,1079663000,1585023000,2782216000,6865550000,0.11953,-87947000
65820,AMPHENOL CORP /DE/,APH,US0320951017,63.99,77062440376,7221512.45238,443400000,1302200000,3455800000,9536300000,18586800000,0.22533,-507300000
65917,ANALOG DEVICES INC,ADI,US0326541051,225.35,111884800084,3524281.97619,2119972000,2545699000,3492779000,13428265000,48618374000,0.07994,-177167000
11790995,Anheuser-Busch InBev SA/NV,BUD,US03524A1088,64.25,129271000000,1185437.19048,5078000000,9973000000,34383000000,128664000000,212943000000,0.05868,-1932000000
1145420,ANNALY CAPITAL MANAGEMENT INC,NLY,US0357104092,20.71,10364112876,4515862.66667,26640000,,78679234000,78826110000,91483546000,,-27458000
466098,ANTERO RESOURCES Corp,AR,US03674X1063,26.45,8226135150,3453790.57143,697286000,,1406012000,6223884000,13415843000,0.07173,-40343000
67471,Aon plc,AON,IE00BLP1HW54,349.2,75860962621,1010156.42857,179000000,1156000000,23498000000,45295000000,51453000000,0.17279,-686000000
10383334,APi Group Corporation,APG,US00187Y1001,23.07,9505840615,1875707.19048,298000000,324000000,1867000000,5126000000,7961000000,0.11824,-78000000
817726,Apollo Global Management LLC,APO,US03769M1062,117.79,68200410000,3050965.54762,85247000,9861666000,3165854000,9549086000,13695317000,,-181499000
111052,APPLE INC,AAPL,US0378331005,216.79,3296104860230,49227935.21429,11187000000,61801000000,119510000000,264904000000,331612000000,0.61823,-18917000000
67102,APPLIED MATERIALS INC /DE,AMAT,US0382221051,188.59,155474366956,7281157.2381,412000000,9103000000,7899000000,14807000000,33647000000,0.30448,-979000000
10383326,AppLovin Corporation,APP,US03831W1080,123.64,41326495297,4067138.04762,462116000,460449000,729591000,4454630000,5269466000,0.29539,-54309000
378125,Aptiv PLC,APTV,JE00B783TY65,70.22,18661673660,3362601.19048,950000000,2157000000,5908000000,12981000000,24751000000,-0.00034,1865000000
361112,Aramark,ARMK,US03852U1060,38.6,10169113181,1958714.30952,460361000,436075000,3452966000,9597050000,12548711000,0.10364,-123301000
18500276,ArcelorMittal S.A.,MT,US03938L2034,23.29,19080839197,1714682.54762,1113000000,9300000000,22398000000,19599000000,94547000000,,-1717000000
445596,Arch Capital Group LTD,ACGL,BMG0450A1053,113.96,42855551560,1377594.95238,96000000,1020000000,,44800000000,65465000000,0.02802,806000000
66997,ARCHER DANIELS MIDLAND CO,ADM,US0394831020,60.46,28908467013,2531608.85714,1104000000,764000000,18684000000,30237000000,52698000000,0.08668,-680000000
10383314,Ares Capital Corporation,ARCC,US04010L1035,20.17,12714897540,3384865.47619,,529000000,132000000,7689000000,9601000000,,
10383304,Ares Management Corporation,ARES,US03990B1017,152.8,27962325892,1036623,341341000,19619048000,15427210000,20284868000,24192557000,,-157758000
536189,"Arista Networks, Inc.",ANET,US0404132054,90.24,113396621760,7638308.28571,62515000,6273954000,2269712000,3192427000,11623235000,0.36189,-370015000
18633363,"ASE Technology Holding Co., Ltd.",ASX,US00215W1009,9.77,42835849220,9740553.97619,17244852000,,,,,,
15665002,ASTRAZENECA PLC,AZN,US0463531089,78.53,121734271020,5068007.52381,,,,,,,
