SimFin ID,Company,Ticker,ISIN,Revenues,EBIT,Net income,FCF,P/E,ROA,Price Close,MCAP,Volume (SMA 2m),COGS,Avg. shares basic,Gross Profit,Op. Exp.,SG&A,EBITDA,ST debt,Cur. assets,Debt,Equity,Chg. WC,Op. CF,Inv. CF,Net Cash from Equity,Fin. CF,Gross Margin,Operating Margin,Net Margin,ROE,FCF/Net inc.,R&D
242,21st Century Fox,FOX_old,n/a,31037000000,6578000000,13878000000,6404000000,3.84191,0.21064,28.77,53423860363,1232190.2381,-20057000000,1853250000,10980000000,-4402000000,-3785000000,7195000000,887000000,34017000000,19208000000,33235000000,-1478000000,4280000000,13321000000,0,-1863000000,0.35377,0.21194,0.44714,0.41757,0.46145,
22219,3M CO,MMM,US88579Y1010,31353000000,6244000000,5134000000,8562000000,19.36169,0.11389,172.38,99294231412,2699496.61905,-16427000000,576650000,14926000000,-8682000000,-6757000000,8018000000,1486000000,14106000000,20762000000,10915000000,771000000,7478000000,-5007000000,-254000000,-1048000000,0.47606,0.19915,0.16375,0.47036,1.66771,-1925000000
63877,ABBOTT LABORATORIES,ABT,US0028241000,31444000000,4017000000,3110000000,4439000000,60.71794,0.04522,106.66,188844729693,5257420.5,-13336000000,1770418000,18108000000,-14091000000,-9677000000,7180000000,1495000000,17221000000,19679000000,30798000000,-1316000000,6401000000,-1933000000,-537000000,-2775000000,0.57588,0.12775,0.09891,0.10098,1.42733,-2333000000
61199,AbbVie Inc.,ABBV,US00287Y1091,36227000000,11030000000,6957000000,14563000000,19.62146,0.04653,89.63,158182003839,7015890.52381,-9579000000,1523000000,26648000000,-15618000000,-8830000000,14156000000,5371000000,21256000000,87432000000,14732000000,502000000,14734000000,-35018000000,-588000000,21169000000,0.73558,0.30447,0.19204,0.47224,2.09329,-6788000000
445591,Acadia Pharmaceuticals Inc,ACAD,US0042251084,393083000,-235345000,-225178000,-230738000,-27.71317,-0.29642,40.76,6427070631,1449111.16667,-11134000,153101000,381949000,-617294000,-350884000,-232672000,,735735000,0,663013000,5559000,-134443000,-42748000,414180000,414180000,0.97168,-0.59872,-0.57285,-0.33963,1.02469,-257073000
61372,Accenture plc,ACN,IE00B4BNMY34,44547418000,6540434000,4950337000,8456209000,30.45439,0.14121,236.82,155957574180,1600438.78571,-30577184000,636599540,13970234000,-7429800000,-7429800000,8066836000,8697000,16146236000,69039000,16483645000,-485244000,7175271000,-2024045000,-1788925000,-3386568000,0.3136,0.14682,0.11113,0.30032,1.70821,
243,Activision Blizzard,ATVI,US00507V1098,6988000000,2143000000,1814000000,2601000000,33.41429,0.08971,78.77,60800362009,6792074.7619,-2073000000,769500000,4915000000,-2772000000,-1737000000,2411000000,,7719000000,2676000000,13682000000,80000000,2143000000,-147000000,117000000,-244000000,0.70335,0.30667,0.25959,0.13258,1.43385,-1035000000
14099,Adobe Systems,ADBE,US00724F1012,12045071000,3776744000,3699624000,3864125000,61.94004,0.17126,474.3,227505222858,3017255.42857,-1734946000,483143250,10310125000,-6533381000,-4312096000,4598905000,,6649000000,4114000000,10881000000,-372072000,4808037000,-301739000,-2951980000,-3524031000,0.85596,0.31355,0.30715,0.34001,1.04446,-2053633000
54871,ADT Inc.,ADT,US00090Q1031,5299992000,225572000,-660657000,1315840000,-10.41986,-0.0414,9.17,6976393443,8593561.19048,-1510570000,750703500,3789422000,-3563850000,-1604617000,2184805000,63029000,651110000,9748351000,2794115000,-190242000,1522952000,-726112000,-4000,-794796000,0.71499,0.04256,-0.12465,-0.23645,-1.99171,
191397,ADVANCED MICRO DEVICES INC,AMD,US0079031078,7646000000,884000000,609000000,419000000,143.92406,0.09251,76.55,89874041380,69711778.09524,-4254000000,1145000000,3392000000,-2508000000,-805000000,1148000000,200000000,5109000000,690000000,3305000000,-538000000,854000000,-78000000,81000000,35000000,0.44363,0.11562,0.07965,0.18427,0.68801,-1703000000
62329,AES CORP,AES,US00130H1059,9611000000,2113000000,362000000,943000000,33.83076,0.01047,18.43,12258367058,4765489.57143,-7319000000,664500000,2292000000,-179000000,-179000000,3185000000,2041000000,5966000000,21373000000,5517000000,-149000000,2272000000,-2969000000,,964000000,0.23848,0.21985,0.03767,0.06562,2.60497,
62581,AFLAC INC,AFL,US0010551028,21708000000,4115000000,2929000000,,9.36112,0.01865,37.62,26819763660,3356429.5,,728833750,,,,,,,0,29420000000,1848000000,5699000000,-2564000000,-1373000000,-583000000,,0.18956,0.13493,0.09956,,
45846,AGILENT TECHNOLOGIES INC,A,US00846U1016,5223000000,797000000,691000000,738000000,44.57496,0.07239,99.6,30707639646,1342004.47619,-2437000000,309250000,2786000000,-1989000000,-1494000000,1105000000,40000000,3245000000,2323000000,4981000000,-345000000,858000000,-1313000000,-210000000,49000000,0.53341,0.15259,0.1323,0.13873,1.06802,-495000000
2226695,AGNICO EAGLE MINES LTD,AEM,CA0084741085,1917714000,519556000,310916000,,46.33812,0.05916,84.13,14456646810,1448066.64286,-897712000,171250000,1020002000,-500446000,-119085000,,,901434000,842955000,3385354000,-20465000,696007000,-376156000,20711000,-202606000,0.53188,0.27092,0.16213,0.09184,,-109500000
69211,AKAMAI TECHNOLOGIES INC,AKAM,US00971T1016,3041052000,641762000,542051000,569557000,31.97156,0.07503,106.88,17389895544,1573500.69048,-1050074000,162146500,1990978000,-1349216000,-1039968000,1099954000,,2192999000,1872937000,3904295000,-156571000,1101459000,-1695123000,-268007000,651307000,0.6547,0.21103,0.17824,0.13883,1.05074,-269099000
65470,"ALASKA AIR GROUP, INC.",ALK,US0116591092,6674000000,308375663,57000000,480160358,98.11424,0.00407,42.15,5211414620,2374651.2381,-5633864521,123130250,1028176557,-717658408,-213000000,531164731,1359018919,3244000000,4290385612,3861000000,638367166,1010000000,-385000000,-81000000,641000000,0.15413,0.04608,0.00854,0.01476,8.42387,
