SimFin ID,Company,Ticker,ISIN,Revenues,EBIT,Net income,FCF,P/E,ROA,Price Close,MCAP,Volume (SMA 2m),COGS,Avg. shares basic,Gross Profit,Op. Exp.,SG&A,R&D,EBITDA,ST debt,Cur. assets,Debt,Equity,Chg. WC,Op. CF,Inv. CF,Net Cash from Equity,Fin. CF,Gross Margin,Operating Margin,Net Margin,ROE,FCF/Net inc.
22219,3M CO,MMM,US88579Y1010,34734000000,7723000000,5950000000,10136000000,17.67316,0.12317,181.49,105205216113,2395647.59524,-17935000000,579400000,16799000000,-9076000000,-7121000000,-1955000000,9634000000,1981000000,16343000000,18248000000,14516000000,404000000,8570000000,-1825000000,-63000000,-6333000000,0.48365,0.22235,0.1713,0.40989,1.70353
63877,ABBOTT LABORATORIES,ABT,US0028241000,40233000000,7428000000,6376000000,9379000000,35.31582,0.08702,126.79,225283026565,4234756.21429,-17807000000,1775957500,22426000000,-14998000000,-10381000000,-2586000000,10910000000,954000000,22627000000,18501000000,34029000000,-374000000,10629000000,-1889000000,-707000000,-4933000000,0.5574,0.18462,0.15848,0.18737,1.47098
61199,AbbVie Inc.,ABBV,US00287Y1091,53729000000,16064000000,6663000000,21402000000,28.11683,0.04503,107.73,190358910000,7524019.14286,-18470000000,1769250000,35259000000,-19195000000,-12083000000,-7180000000,24836000000,7901000000,25999000000,82138000000,12594000000,-1903000000,20451000000,-2360000000,-837000000,-15567000000,0.65624,0.29898,0.12401,0.52906,3.21207
1250893,AbCellera Biologics Inc.,ABCL,CA00288U1066,447654000,310048000,229206000,353772000,21.42247,0.19899,20.36,5674411078,2490382.80952,,241166949,,-86843000,-33118000,-43529000,320244000,,864002000,0,967679000,-4068000,264705000,-173539000,525452000,588951000,,0.69261,0.51202,0.23686,1.54347
61372,Accenture plc,ACN,IE00B4BNMY34,47949376000,7207543000,5778490000,11361482000,36.87628,0.13718,335.4,223521179435,1637695.40476,-32610924000,635328673,15338452000,-8130909000,-8130909000,,9099394000,9157000,21144858000,70786000,19893964000,1026523000,9694850000,-1704792000,-2333061000,-4572094000,0.31989,0.15032,0.12051,0.29046,1.96617
7962770,"ACM Research, Inc.",ACMR,US00108J1097,190823000,20719000,29193000,-58480000,196.42752,0.06968,34.13,5874214335,1224671.14286,-111083000,168013730,79740000,-59021000,-35363000,-23658000,22364000,24044000,329361000,42761000,229556000,-26603000,-2655000,-41582000,4069000,22208000,0.41787,0.10858,0.15298,0.12717,-2.00322
243,Activision Blizzard,ATVI,US00507V1098,8937000000,3234000000,2608000000,2987000000,23.56599,0.11064,79.56,61819453346,8848649.21429,-2419000000,774250000,6518000000,-3284000000,-1974000000,-1310000000,3386000000,,10887000000,3606000000,16286000000,-761000000,2568000000,-264000000,168000000,521000000,0.72933,0.36187,0.29182,0.16014,1.14532
14099,Adobe Systems,ADBE,US00724F1012,14389000000,5144000000,5582000000,5608000000,56.27918,0.2182,654.48,311532480000,1476952.40476,-1746000000,480250000,12643000000,-7499000000,-4974000000,-2356000000,5915000000,,8078000000,4120000000,13852000000,582000000,6978000000,-2111000000,-3032000000,-3678000000,0.87866,0.3575,0.38794,0.40297,1.00466
54871,ADT Inc.,ADT,US00090Q1031,5222769000,85983000,-398903000,1244289000,-4.36703,-0.02481,8.3,6897756500,1979483.45238,-1494946000,33419000,3727823000,-3641840000,-1750886000,,1976937000,90777000,948647000,9561972000,2854622000,-32519000,1523402000,-1379065000,447811000,-33974000,0.71376,0.01646,-0.07638,-0.13974,-3.11928
191397,ADVANCED MICRO DEVICES INC,AMD,US0079031078,13340000000,2507000000,3436000000,1129000000,36.41544,0.32139,103.88,126216378987,73553836.2619,-7242000000,1204500000,6098000000,-3591000000,-1241000000,-2350000000,2871000000,,7818000000,313000000,7065000000,-446000000,2743000000,-1446000000,-254000000,-453000000,0.45712,0.18793,0.25757,0.48634,0.32858
