SimFin ID,Company,Ticker,ISIN,Price Close,MCAP,Volume (SMA 2m),Chg. WC,Op. CF,Inv. CF,Fin. CF,Revenues,EBIT,Net income,FCF,P/E,ROA,Avg. shares basic,Op. Exp.,SG&A,R&D,EBITDA,ST debt,Cur. assets,Debt,Equity,Net Cash from Equity,Operating Margin,Net Margin,ROE,FCF/Net inc.,COGS,Gross Profit,Gross Margin
18615200,"360 DigiTech, Inc.",QFIN,US88557W1018,24.99,7877500939,1425345.02381,-696270833,897319781,-615961046,26921763,,,,,,,,,,,,,,,,,,,,,,,
22219,3M CO,MMM,US88579Y1010,133.36,73261798897,4574344.92857,-11914000000,5684000000,-1444000000,1635000000,30583000000,1326000000,943000000,-10252000000,78.41087,0.02174,554450000,-2880000000,-10485000000,-1614000000,3129000000,1302000000,19515000000,13083000000,3988000000,-349000000,0.04336,0.03083,0.23646,-10.87169,,,
63877,ABBOTT LABORATORIES,ABT,US0028241000,114.88,199879367820,5715046.33333,-2834000000,7900000000,-2336000000,-6359000000,40725000000,6482000000,5557000000,5601000000,36.00388,0.07611,1741587492,-16016000000,-11342000000,-2754000000,9729000000,1615000000,23119000000,14754000000,39560000000,-253000000,0.15917,0.13645,0.14047,1.00792,-18227000000,22498000000,0.55244
61199,AbbVie Inc.,ABBV,US00287Y1091,192.94,340798362160,4703733.54762,-49000000,18638000000,-11859000000,-2388000000,55000000000,13721000000,5339000000,23046000000,63.86841,0.03762,1767354904,-20794000000,-13257000000,-7537000000,22237000000,12586000000,33816000000,70634000000,6821000000,-1136000000,0.24947,0.09707,0.78273,4.31654,-20485000000,34515000000,0.62755
188522,ABERCROMBIE & FITCH CO /DE/,ANF,US0028962076,135.45,6918603955,1856673.57143,-5549000,697213000,-164051000,-414820000,4664042000,661859000,501676000,824393000,13.71865,0.16451,50810750,-2351098000,-2353408000,,807596000,202840000,1516653000,202840000,1221150000,-30000000,0.14191,0.10756,0.41082,1.64328,-1651085000,3012957000,0.646
61372,Accenture plc,ACN,IE00B4BNMY34,336.18,226002261510,2097431.95238,-1823156000,9150984000,-6881734000,-5114859000,64475845000,9959475000,6953449000,12083212000,30.40181,0.12843,628822066,-11047015000,-11047015000,,12172389000,1610025000,21194699000,1678903000,26377620000,-3477014000,0.15447,0.10785,0.26361,1.73773,-43469355000,21006490000,0.3258
14099,Adobe Systems,ADBE,US00724F1012,508.13,225304842000,2466665.40476,-715000000,6584000000,475000000,-4858000000,20429000000,7232000000,5079000000,8537000000,45.34553,0.16926,453250000,-10795000000,-6934000000,-3693000000,8098000000,,11023000000,5625000000,14843000000,-6159000000,0.35401,0.24862,0.34218,1.68084,-2402000000,18027000000,0.88242
54871,ADT Inc.,ADT,US00090Q1031,7.27,6628989509,3951663.45238,-454596000,1850025000,340819000,-2302727000,4873609000,1081497000,673580000,416152000,9.67037,0.04214,895979500,-2894161000,-1562984000,,2409953000,192220000,985541000,7724470000,3808210000,-93356000,0.22191,0.13821,0.17688,0.61782,-897951000,3975658000,0.81575
191397,ADVANCED MICRO DEVICES INC,AMD,US0079031078,148.29,240004672795,46563098.78571,-3383000000,1916000000,503000000,-2147000000,23276000000,832000000,1354000000,-282000000,177.09374,0.01995,1617000000,-10250000000,-2490000000,-6126000000,4007000000,,17465000000,1719000000,56538000000,-967000000,0.03574,0.05817,0.02395,-0.20827,-12194000000,11082000000,0.47611
17685538,AerCap Holdings N.V.,AER,NL0000687663,94.14,19062706836,1441730.47619,148744000,5261435000,-2365739000,-2828948000,7090798000,3389654000,3136091000,2199153000,6.7306,,224216801,-3701144000,-1220566000,,5870232000,,5854683000,0,7942548000,,0.47804,0.44228,,0.70124,,,
